trial,seed,graph,n,m,density,bestFitness,time_sec
1,1235,cubic_100.txt,100,150,0.030303030303030304,3.0,0.12476706504821777
2,1236,cubic_100.txt,100,150,0.030303030303030304,3.0,0.07284808158874512
3,1237,cubic_100.txt,100,150,0.030303030303030304,3.0,0.06142306327819824
4,1238,cubic_100.txt,100,150,0.030303030303030304,3.0,0.05951094627380371
5,1239,cubic_100.txt,100,150,0.030303030303030304,3.0,0.058503150939941406
6,1240,cubic_100.txt,100,150,0.030303030303030304,3.0,0.05980205535888672
7,1241,cubic_100.txt,100,150,0.030303030303030304,3.0,0.06360602378845215
8,1242,cubic_100.txt,100,150,0.030303030303030304,3.0,0.05919790267944336
9,1243,cubic_100.txt,100,150,0.030303030303030304,3.0,0.05604195594787598
10,1244,cubic_100.txt,100,150,0.030303030303030304,3.0,0.059844017028808594
11,1245,cubic_100.txt,100,150,0.030303030303030304,3.0,0.05903887748718262
12,1246,cubic_100.txt,100,150,0.030303030303030304,3.0,0.05734896659851074
13,1247,cubic_100.txt,100,150,0.030303030303030304,3.0,0.06077218055725098
14,1248,cubic_100.txt,100,150,0.030303030303030304,3.0,0.05953097343444824
15,1249,cubic_100.txt,100,150,0.030303030303030304,3.0,0.05726790428161621
16,1250,cubic_100.txt,100,150,0.030303030303030304,3.0,0.055986881256103516
17,1251,cubic_100.txt,100,150,0.030303030303030304,3.0,0.06123685836791992
18,1252,cubic_100.txt,100,150,0.030303030303030304,3.0,0.060539960861206055
19,1253,cubic_100.txt,100,150,0.030303030303030304,3.0,0.05866289138793945
20,1254,cubic_100.txt,100,150,0.030303030303030304,3.0,0.05665397644042969
21,1255,cubic_100.txt,100,150,0.030303030303030304,3.0,0.05623602867126465
22,1256,cubic_100.txt,100,150,0.030303030303030304,3.0,0.05749106407165527
23,1257,cubic_100.txt,100,150,0.030303030303030304,3.0,0.06109285354614258
24,1258,cubic_100.txt,100,150,0.030303030303030304,3.0,0.05746102333068848
25,1259,cubic_100.txt,100,150,0.030303030303030304,3.0,0.058814048767089844
26,1260,cubic_100.txt,100,150,0.030303030303030304,3.0,0.054418087005615234
27,1261,cubic_100.txt,100,150,0.030303030303030304,3.0,0.05709195137023926
28,1262,cubic_100.txt,100,150,0.030303030303030304,3.0,0.05837202072143555
29,1263,cubic_100.txt,100,150,0.030303030303030304,3.0,0.056658029556274414
30,1264,cubic_100.txt,100,150,0.030303030303030304,3.0,0.061231136322021484
