trial,seed,graph,n,m,density,bestFitness,time_sec
1,1235,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,1.2471117973327637
2,1236,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.8271689414978027
3,1237,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.6644940376281738
4,1238,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,1.614706039428711
5,1239,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.7644319534301758
6,1240,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.7370810508728027
7,1241,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.6880900859832764
8,1242,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.7666079998016357
9,1243,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.8007211685180664
10,1244,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.6602339744567871
11,1245,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.7062458992004395
12,1246,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.901008129119873
13,1247,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.8709919452667236
14,1248,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.7165188789367676
15,1249,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.6947779655456543
16,1250,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.706395149230957
17,1251,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.7438762187957764
18,1252,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.7558419704437256
19,1253,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.6891911029815674
20,1254,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.7657771110534668
21,1255,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.6870129108428955
22,1256,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.8162908554077148
23,1257,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.7268490791320801
24,1258,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.7389109134674072
25,1259,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.7598350048065186
26,1260,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.8082189559936523
27,1261,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.841331958770752
28,1262,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,1.0778310298919678
29,1263,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.6703109741210938
30,1264,c-fat200-1.txt,200,1534,0.0770854271356784,13.0,0.9080491065979004
