trial,seed,graph,n,m,density,bestFitness,time_sec
1,1235,can___62.txt,62,140,0.074034902168165,3.0,0.0614931583404541
2,1236,can___62.txt,62,140,0.074034902168165,3.0,0.045382022857666016
3,1237,can___62.txt,62,140,0.074034902168165,3.0,0.043241024017333984
4,1238,can___62.txt,62,140,0.074034902168165,3.0,0.04179501533508301
5,1239,can___62.txt,62,140,0.074034902168165,3.0,0.0348818302154541
6,1240,can___62.txt,62,140,0.074034902168165,3.0,0.032048940658569336
7,1241,can___62.txt,62,140,0.074034902168165,3.0,0.03141498565673828
8,1242,can___62.txt,62,140,0.074034902168165,3.0,0.033653974533081055
9,1243,can___62.txt,62,140,0.074034902168165,3.0,0.032269954681396484
10,1244,can___62.txt,62,140,0.074034902168165,3.0,0.031445980072021484
11,1245,can___62.txt,62,140,0.074034902168165,3.0,0.028573036193847656
12,1246,can___62.txt,62,140,0.074034902168165,3.0,0.02874612808227539
13,1247,can___62.txt,62,140,0.074034902168165,3.0,0.02952122688293457
14,1248,can___62.txt,62,140,0.074034902168165,3.0,0.03361392021179199
15,1249,can___62.txt,62,140,0.074034902168165,3.0,0.031857967376708984
16,1250,can___62.txt,62,140,0.074034902168165,3.0,0.03632020950317383
17,1251,can___62.txt,62,140,0.074034902168165,3.0,0.03563189506530762
18,1252,can___62.txt,62,140,0.074034902168165,3.0,0.03219008445739746
19,1253,can___62.txt,62,140,0.074034902168165,3.0,0.02793097496032715
20,1254,can___62.txt,62,140,0.074034902168165,3.0,0.030885934829711914
21,1255,can___62.txt,62,140,0.074034902168165,3.0,0.030588865280151367
22,1256,can___62.txt,62,140,0.074034902168165,3.0,0.029078006744384766
23,1257,can___62.txt,62,140,0.074034902168165,3.0,0.029510021209716797
24,1258,can___62.txt,62,140,0.074034902168165,3.0,0.028937101364135742
25,1259,can___62.txt,62,140,0.074034902168165,3.0,0.03170919418334961
26,1260,can___62.txt,62,140,0.074034902168165,3.0,0.030523061752319336
27,1261,can___62.txt,62,140,0.074034902168165,3.0,0.03021693229675293
28,1262,can___62.txt,62,140,0.074034902168165,3.0,0.03022599220275879
29,1263,can___62.txt,62,140,0.074034902168165,3.0,0.031069040298461914
30,1264,can___62.txt,62,140,0.074034902168165,3.0,0.029814958572387695
